MaSVD,TenSVD,DiaChi,SucChua
SVD01,San van dong Quoc Gia My Dinh,"1 D. Le Duc Tho, My Dinh, Nam Tu Liem, Ha Noi, Viet Nam",40192
SVD02,San van dong Hang Day,"9 P. Trinh Hoai Duc, Cat Linh, Dong Da, Ha Noi, Viet Nam",22500
SVD03,San van dong Ha Dong,"P. Ba Trieu, P. Nguyen Trai, Ha Dong, Ha Noi, Viet Nam",12000
SVD04,San van dong Lach Tray,"15 Lach Tray, Le Loi, Ngo Quyen, Hai Phong, Viet Nam",30000
SVD05,San van dong Pleiku,"Quang Trung, P.Tay Son, Thanh pho Pleiku, Gia Lai, Viet Nam",12000
SVD06,San van dong Truong Dai hoc Bach Khoa Ha Noi,"A1 P. Le Thanh Nghi, Bach Khoa, Hai Ba Trung, Ha Noi, Viet Nam",14000
SVD07,San van dong Hue,"16 Le Loi, Vinh Ninh, Thanh pho Hue, tinh Thua Thien Hue, Viet Nam",16500
SVD08,San van dong Buon Ma Thuot,"Duong Nguyen Chi Thanh, Phuong Tan An, Thanh pho Buon Ma Thuot, tinh Dak Lak, Viet Nam",10000
SVD09,San van dong Quy Nhon,"01 Nguyen Tat Thanh, Phuong Tran Phu, Thanh pho Quy Nhon, tinh Binh Dinh, Viet Nam",18600
SVD10,San van dong Can Tho,"Tran Phu, Phuong Cai Khe, Quan Ninh Kieu, Thanh pho Can Tho, Viet Nam",21000
SVD11,San van dong Tam Ky,"74 Tran Cao Van, Phuong An My, Thanh pho Tam Ky, tinh Quang Nam, Viet Nam",15000
SVD12,San van dong Bac Ninh,"So 6, duong Tran Phu, Phuong Vo Cuong, Thanh pho Bac Ninh, tinh Bac Ninh, Viet Nam",10000
SVD13,San van dong Ha Tinh,"Nguyen Bieu, Nam Ha, Ha Tinh, Viet Nam",11500
SVD14,San van dong Thanh Hoa,"153 Le Loi, Phuong Dien Bien, Thanh pho Thanh Hoa, tinh Thanh Hoa, Viet Nam",18500
SVD15,San Van Dong Dun Beu,"TT. Chu Se, h. Chu Se, Gia Lai, Viet Nam",3500
SVD16,San van dong Thong Nhat,"138 D. Dao Duy Tu, Phuong 6, Quan 10, Thanh pho Ho Chi Minh, Viet Nam",18400
SVD17,San van dong Thien Truong,"Duong Dang Xuan Thieu, Phuong Vi Hoang, Thanh pho Nam Dinh, Nam Dinh, Viet Nam",26000
SVD18,San van dong Vinh,"Dao Tan, Cua Nam, Thanh pho Vinh, Nghe An, Viet Nam",12000
SVD19,San van dong Viet Tri,"D. Hung Vuong, Ph.Tho Son, Thanh pho Viet Tri, Phu Tho, Viet Nam",18000
SVD20,San van dong Ba Ria,"So 308 27 Thang 4, Phuoc Hung, Ba Ria, Ba Ria - Vung Tau, Viet Nam",10000
SVD21,San van dong 19 thang 8,"Van Thanh, Nha Trang, Khanh Hoa, Viet Nam",18000
SVD22,San Van Dong Cao Lanh,"83 D. Nguyen Hue, Phuong My Phu, TP. Cao Lanh, Dong Thap, Viet Nam",23000
SVD23,San van dong An Giang,"phuong My Binh, Thanh pho Long Xuyen, tinh An Giang, Viet Nam",13000
SVD24,San van dong Dong Nai,"Tan Hiep, Thanh pho Bien Hoa, Dong Nai, Viet Nam",30000
SVD25,San van dong Long An,"44B Truong Dinh, Phuong 2, Tan An, Long An, Viet Nam",19975
SVD26,San van dong Chi Lang,"38 Ngo Gia Tu, Hai Chau I, Hai Chau, Da Nang, Viet Nam",30000
SVD27,San van dong Go Dau,"D. 30 Thang 4, Phu Tho, Thu Dau Mot, Binh Duong, Viet Nam",18250
SVD28,San van dong Binh Phuoc,"Quoc lo 14, phuong Tan Binh, thanh pho Dong Xoai, Binh Phuoc, Viet Nam",11000
SVD29,San Van Dong Kon Tum,"Truong Chinh, Tp. Kon Tum, Kon Tum, Viet Nam",9000
SVD30,Trung tam dao tao bong da tre PVF,"So Dong, Long Hung, Van Giang, Hung Yen, Viet Nam",18000
